,namespace,grade,Número de exercícios por turma
0,escolamaster,em 2a serie,4316.5
1,sagradafamilia,em 2a serie,4251.0
2,colegioliceu,em 2a serie,4251.0
3,santadoroteia,em 2a serie,4251.0
4,sagradafamilia,em 1a serie,4062.0
5,colegioliceu,em 1a serie,4062.0
6,santadoroteia,em 1a serie,4062.0
7,escolamaster,em 1a serie,3393.0
8,profederal,outro,738.5
9,insa,em 3a serie,682.0
10,insa,em 2a serie,665.0
11,alpha,em 2a serie,642.0
12,colegiointegral,em 3a serie,638.5
13,santoamerico,em 3a serie,623.2
14,sas,em 1a serie,555.0
15,alpha,em 1a serie,543.0
16,qescola,em 3a serie,525.75
17,alpha,em 3a serie,522.0
18,colegiobrasilia,ef 5o ano,512.0
19,universitariolondrina,ef 3o ano,507.6666666666667
20,alpha,ef 7o ano,480.0
21,alpha,ef 8o ano,478.0
22,alpha,ef 6o ano,469.0
23,alpha,ef 9o ano,451.0
24,alpha,outro,443.0
25,colegioecursodesafio,em 3a serie,438.0
26,colegiointegral,em 2a serie,397.6
27,colegioecursodesafio,em 1a serie,377.0
28,colegiointegral,em 1a serie,363.8333333333333
29,gerabixo,outro,357.0
30,porto,em 2a serie,347.75
31,universitariolondrina,ef 2o ano,338.5
32,colegioecursodesafio,em 2a serie,336.0
33,colegiointegral,ef 9o ano,335.6666666666667
34,einsteinassis,em 3a serie,332.0
35,physicsumarizal,ef 4o ano,330.0
36,porto,em 3a serie,320.0
37,einsteinassis,em 2a serie,314.0
38,colegiobrasilia,infantil iv,309.3333333333333
39,einsteinassis,em 1a serie,308.0
40,universitariolondrina,ef 4o ano,300.6666666666667
41,cats,outro,293.0
42,physicsumarizal,ef 2o ano,285.0
43,qescola,em 1a serie,283.0
44,physicsalmirantebarroso,ef 3o ano,280.0
45,physicsalmirantebarroso,ef 4o ano,280.0
46,colegioflamingo,em 3a serie,278.0
47,physicsbatistacampos,ef 2o ano,273.0
48,physicscidadenova,ef 4o ano,272.0
49,physicsaugustomontenegro,ef 4o ano,265.0
50,colegiointegral,ef 8o ano,262.375
51,acessoboqueirao,em 3a serie,261.0
52,physicsbatistacampos,ef 3o ano,260.0
53,physicscidadenova,ef 2o ano,258.0
54,physicsbatistacampos,ef 4o ano,255.0
55,colegioiguatemy,em 3a serie,251.0
56,physicsbatistacampos,ef 5o ano,251.0
57,physicscidadenova,ef 1o ano,248.0
58,einsteinassis,ef 8o ano,247.0
59,acessosantafelicidade,em 3a serie,247.0
60,acessosantafelicidade,outro,247.0
61,physicscidadenova,ef 3o ano,245.0
62,physicsaugustomontenegro,ef 2o ano,244.0
63,porto,em 1a serie,241.0
64,physicscidadenova,ef 5o ano,239.0
65,physicsmacapa,em 3a serie,238.0
66,physicsmacapa,outro,238.0
67,physicsalmirantebarroso,ef 5o ano,233.0
68,colegioflamingo,em 2a serie,232.0
69,physicscidadenova,ef 6o ano,232.0
70,macvest,outro,230.5
71,colegiobrasilia,infantil iii,230.0
72,physicsumarizal,ef 5o ano,229.0
73,master,ef 8o ano,225.0
74,master,outro,225.0
75,universitariolondrina,em 1a serie,224.0
76,colegioguilhermedealmeida,em 2a serie,223.0
77,colegioflamingo,em 1a serie,221.0
78,physicsalmirantebarroso,ef 1o ano,221.0
79,physicsaugustomontenegro,ef 3o ano,220.0
80,einsteinassis,ef 9o ano,218.0
81,physicsalmirantebarroso,ef 2o ano,218.0
82,santoagostinholeblon,em 3a serie,217.0
83,informacao,em 3a serie,217.0
84,physicsaugustomontenegro,ef 5o ano,217.0
85,acessopinhais,em 1a serie,209.0
86,physicscidadenova,ef 7o ano,205.5
87,colegiointegral,ef 7o ano,202.375
88,acessosjpinhais,em 1a serie,193.0
89,elitecuritibaemilianoperneta,em 1a serie,192.0
90,physicsaugustomontenegro,ef 1o ano,188.0
91,santoamerico,ef 8o ano,187.8
92,colegiojoaopaulo,ef 3o ano,187.0
93,physicsalcindocacela,outro,185.14285714285714
94,colegiodasamericas,ef 3o ano,183.0
95,einsteinassis,ef 7o ano,181.0
96,eacorcovado,em 3a serie,180.5
97,einsteinassis,ef 6o ano,180.0
98,institutoeurofarma,outro,178.0
99,sas,em 2a serie,177.0
100,ceabb,ef 3o ano,176.0
101,acessoboqueirao,outro,175.66666666666666
102,physicsumarizal,ef 1o ano,175.0
103,acessopinhais,em 2a serie,175.0
104,physicscidadenova,ef 8o ano,171.0
105,universitariolondrina,ef 5o ano,170.0
106,villalobos,em 3a serie,169.5
107,ceabb,ef 5o ano,166.0
108,colegioecursodesafio,ef 9o ano,165.5
109,villalobos,em 2a serie,163.75
110,colegioiguatemy,ef 6o ano,163.0
111,santoamerico,ef 6o ano,162.8
112,physicsbatistacampos,ef 6o ano,162.66666666666666
113,universitariolondrina,ef 1o ano,161.75
114,eacorcovado,em 2a serie,159.25
115,sas,outro,159.0
116,physicsbatistacampos,ef 1o ano,159.0
117,colegiobrasilia,ef 4o ano,156.66666666666666
118,elitecuritibaemilianoperneta,em 2a serie,155.0
119,physicsalmirantebarroso,ef 6o ano,154.0
120,colegiointegral,ef 6o ano,152.125
121,stellamarisxaxim,em 1a serie,152.0
122,stellamarisxaxim,em 2a serie,151.0
123,colegioensitec,em 2a serie,150.0
124,physicsmacapa,em 2a serie,149.0
125,acessosantafelicidade,em 2a serie,149.0
126,physicsumarizal,ef 9o ano,149.0
127,portinari,em 2a serie,148.0
128,santoamerico,em 2a serie,147.0
129,physicscidadenova,outro,145.0
130,physicsalmirantebarroso,ef 7o ano,145.0
131,ceabb,ef 4o ano,145.0
132,progressaodc,em 2a serie,142.0
133,santoamerico,ef 7o ano,141.16666666666666
134,physicsumarizal,ef 3o ano,139.5
135,physicscidadenova,em 3a serie,139.0
136,integradaeducativa,em 3a serie,138.0
137,educarse,outro,138.0
138,colegioguilhermedealmeida,em 1a serie,137.0
139,colegioecursodesafio,ef 8o ano,134.33333333333334
140,colegioeag,em 3a serie,132.0
141,adrianochan,outro,131.29770992366412
142,porto,ef 9o ano,131.0
143,acessosjpinhais,em 2a serie,130.0
144,physicsaugustomontenegro,ef 8o ano,130.0
145,psantagema,em 2a serie,129.5
146,cursosazambuja,outro,128.63333333333333
147,casdinhosjc,ef 9o ano,126.83333333333333
148,colegioensitec,em 1a serie,126.0
149,physicsbatistacampos,ef 8o ano,125.5
150,colegioiguatemy,em 1a serie,125.0
151,physicsalcindocacela,em 2a serie,124.0
152,colegiobrasilia,ef 9o ano,123.33333333333333
153,colegiointegral,ef 5o ano,123.0
154,physicsbatistacampos,ef 9o ano,122.4
155,colegioensitec,ef 5o ano,121.0
156,stellamarisjuveve,ef 3o ano,120.5
157,integradaeducativa,em 2a serie,120.0
158,casdinhosjc,ef 8o ano,120.0
159,psantagema,ef 9o ano,119.0
160,jazzvestibular,outro,118.0
161,colegiobilac,ef 3o ano,118.0
162,colegioguilhermedealmeida,ef 2o ano,118.0
163,insa,em 1a serie,118.0
164,colegioecursodesafio,ef 7o ano,117.0
165,physicsaugustomontenegro,ef 9o ano,117.0
166,colegiocb,ef 5o ano,116.0
167,colegioeag,em 1a serie,116.0
168,stellamarisjuveve,ef 9o ano,115.5
169,physicscidadenova,ef 9o ano,115.0
170,colegioensitec,ef 9o ano,115.0
171,colegiocb,em 2a serie,114.0
172,cem,ef 1o ano,113.0
173,colegiobilac,ef 5o ano,113.0
174,physicsbatistacampos,ef 7o ano,112.625
175,colegiointegral,ef 4o ano,112.0
176,colegiocb,em 1a serie,111.0
177,colegiocb,em 3a serie,111.0
178,stellamarisjuveve,ef 6o ano,110.66666666666667
179,alpha,ef 5o ano,110.0
180,stellamarisxaxim,ef 3o ano,110.0
181,progressaodc,em 3a serie,110.0
182,aridesa,em 3a serie,109.0
183,acessocampolargo,em 2a serie,108.0
184,colegioensitec,em 3a serie,107.0
185,integradaeducativa,em 1a serie,107.0
186,colegiosete,em 1a serie,107.0
187,santoamerico,ef 9o ano,106.8
188,colegiosete,em 2a serie,106.0
189,cem,ef 2o ano,106.0
190,colegioecursoprogressao,em 3a serie,105.5
191,physicsalmirantebarroso,ef 9o ano,104.0
192,physicsalmirantebarroso,ef 8o ano,104.0
193,colegiobrasilia,ef 6o ano,103.57142857142857
194,spdacruz,em 3a serie,103.0
195,psantagema,em 3a serie,102.33333333333333
196,villalobos,ef 8o ano,102.0
197,alpha,ef 4o ano,102.0
198,villalobos,outro,101.25
199,colegiosete,em 3a serie,100.0
200,colegioiguatemy,em 2a serie,100.0
201,universitariolondrina,em 3a serie,99.0
202,villalobos,ef 9o ano,98.2
203,eacorcovado,ef 8o ano,97.5
204,stellamarisjuveve,em 1a serie,97.0
205,colegioeag,em 2a serie,96.0
206,cem,em 3a serie,96.0
207,informacao,em 2a serie,96.0
208,colegioecursoprogressao,ef 9o ano,95.5
209,amadeus,em 1a serie,94.0
210,amadeus,ef 8o ano,94.0
211,colegiobrasilia,ef 1o ano,94.0
212,acessosjpinhais,ef 3o ano,93.0
213,stellamarisjuveve,ef 8o ano,93.0
214,integradaeducativa,ef 9o ano,92.66666666666667
215,stellamarisjuveve,em 2a serie,92.0
216,colegioecursodesafio,ef 6o ano,91.66666666666667
217,stellamarisxaxim,ef 7o ano,91.0
218,stellamarisjuveve,ef 7o ano,91.0
219,physicsalmirantebarroso,em 1a serie,91.0
220,amadeus,ef 4o ano,91.0
221,psantagema,ef 8o ano,90.25
222,stellamarisjuveve,em 3a serie,90.0
223,stellamarisjuveve,outro,90.0
224,amadeus,ef 6o ano,89.0
225,physicsaugustomontenegro,ef 6o ano,89.0
226,alpha,ef 3o ano,89.0
227,amadeus,em 2a serie,88.0
228,colegioensitec,ef 6o ano,88.0
229,colegioecursoprogressao,em 2a serie,87.33333333333333
230,acessosjpinhais,ef 9o ano,86.5
231,acessocampolargo,ef 9o ano,86.0
232,overnascimentodecastro,outro,86.0
233,progressaodc,em 1a serie,84.0
234,psantagema,em 1a serie,83.5
235,physicsumarizal,ef 8o ano,83.0
236,physicsumarizal,ef 7o ano,83.0
237,colegioiguatemy,ef 8o ano,83.0
238,colegioiguatemy,ef 5o ano,83.0
239,amadeus,ef 5o ano,83.0
240,universitariolondrina,ef 8o ano,83.0
241,amadeus,ef 7o ano,82.0
242,physicsaugustomontenegro,infantil ii,82.0
243,eacorcovado,em 1a serie,81.8
244,spdacruz,em 2a serie,81.0
245,colegiobilac,ef 1o ano,81.0
246,progressaoig,em 3a serie,81.0
247,acessofazendariogrande,em 2a serie,81.0
248,cem,em 1a serie,80.0
249,stellamarisxaxim,ef 6o ano,79.66666666666667
250,colegioiguatemy,ef 7o ano,79.5
251,physicsaugustomontenegro,ef 7o ano,79.0
252,colegioecursoprogressao,em 1a serie,78.33333333333333
253,colegioguilhermedealmeida,ef 8o ano,77.66666666666667
254,acessocampolargo,em 1a serie,77.0
255,colegiouirapuru,ef 4o ano,77.0
256,villalobos,ef 5o ano,77.0
257,cem,ef 5o ano,77.0
258,villalobos,ef 7o ano,76.5
259,colegiobrasilia,ef 3o ano,76.0
260,eccos,ef 8o ano,75.0
261,colegioguilhermedealmeida,ef 5o ano,75.0
262,universitariolondrina,ef 7o ano,75.0
263,integradaeducativa,ef 8o ano,74.0
264,colegiosete,ef 8o ano,74.0
265,universitariolondrina,em 2a serie,74.0
266,pioxi,em 3a serie,74.0
267,colegioensitec,ef 7o ano,74.0
268,porto,ef 6o ano,74.0
269,universitariolondrina,ef 6o ano,73.0
270,stellamarisjuveve,ef 1o ano,73.0
271,cem,ef 4o ano,73.0
272,francobrasileiro,em 3a serie,72.33333333333333
273,acessoboqueirao,em 2a serie,72.0
274,portinari,em 1a serie,71.0
275,physicsumarizal,ef 6o ano,71.0
276,colegiodasamericas,em 2a serie,70.0
277,colegiobilac,ef 2o ano,70.0
278,acessoboqueirao,ef 8o ano,69.75
279,amadeus,ef 2o ano,69.0
280,cem,ef 6o ano,69.0
281,acessofazendariogrande,ef 9o ano,68.0
282,moaciralves,ef 6o ano,68.0
283,colegiosete,ef 7o ano,68.0
284,amadeus,ef 3o ano,67.0
285,universitariolondrina,outro,66.83333333333333
286,colegiodasamericas,ef 4o ano,66.66666666666667
287,colegioiguatemy,ef 4o ano,66.0
288,colegiosete,ef 4o ano,65.0
289,porto,ef 8o ano,65.0
290,stellamarisaguaverde,ef 6o ano,65.0
291,colegiointegral,ef 3o ano,64.6
292,colegiobilac,ef 8o ano,64.0
293,ceabb,ef 7o ano,64.0
294,acessoalmirantetamandare,em 2a serie,64.0
295,villalobos,ef 4o ano,64.0
296,physicsalmirantebarroso,em 2a serie,64.0
297,colegiosete,ef 5o ano,63.333333333333336
298,apogeustoantonio2,outro,63.0
299,colegiodasamericas,em 1a serie,63.0
300,colegioeag,ef 8o ano,62.5
301,colegiouirapuru,ef 5o ano,62.4
302,acessofazendariogrande,ef 6o ano,62.0
303,stellamarisaguaverde,ef 7o ano,62.0
304,colegioguilhermedealmeida,em 3a serie,62.0
305,physicsumarizal,em 1a serie,62.0
306,universobarcarena,em 3a serie,61.5
307,colegiodasamericas,em 3a serie,61.0
308,colegiojoaopaulo,ef 8o ano,61.0
309,acessosantafelicidade,em 1a serie,61.0
310,acessosjpinhais,ef 6o ano,60.333333333333336
311,colegiocb,ef 4o ano,60.0
312,acessofazendariogrande,ef 7o ano,60.0
313,santamariacn,em 3a serie,60.0
314,overzonanorte,em 3a serie,60.0
315,cem,em 2a serie,60.0
316,overzonanorte,outro,60.0
317,acessofazendariogrande,em 1a serie,59.0
318,acessoalmirantetamandare,em 1a serie,59.0
319,physicsumarizal,em 2a serie,58.0
320,amadeus,ef 9o ano,58.0
321,physicsbatistacampos,outro,57.4
322,colegioiguatemy,ef 9o ano,57.0
323,colegioguilhermedealmeida,ef 4o ano,56.333333333333336
324,positivoon,em 3a serie,56.0
325,villalobos,ef 6o ano,56.0
326,stellamarisxaxim,ef 4o ano,55.5
327,casdvest,outro,55.333333333333336
328,acessosjpinhais,ef 8o ano,55.333333333333336
329,acessoboqueirao,ef 9o ano,55.25
330,colegioguilhermedealmeida,ef 3o ano,55.0
331,colegiobrasilia,ef 2o ano,55.0
332,colegioeag,ef 9o ano,55.0
333,colegiocb,ef 6o ano,54.5
334,cem,ef 7o ano,54.0
335,villalobos,em 1a serie,53.5
336,universobarcarena,em 2a serie,53.5
337,portinari,ef 9o ano,53.2
338,acessopinhais,outro,53.0
339,colegiodasamericas,ef 2o ano,53.0
340,colegioeag,ef 7o ano,53.0
