,namespace,Semana,Tempo médio entre publicação e ínicio de AA
0,acessoalmirantetamandare,23,1 days 14:23:25.394718333
1,acessoalmirantetamandare,24,1 days 05:33:50.204645458
2,acessoalmirantetamandare,25,1 days 15:38:31.385327225
3,acessoalmirantetamandare,26,2 days 11:37:57.715887736
4,acessoalmirantetamandare,27,1 days 08:20:24.835438404
5,acessoalmirantetamandare,30,1 days 17:59:24.100767750
6,acessoalmirantetamandare,31,2 days 20:44:34.565151400
7,acessoalmirantetamandare,32,2 days 14:23:47.799490214
8,acessoalmirantetamandare,33,3 days 00:36:39.964706428
9,acessoalmirantetamandare,34,2 days 07:42:51.123972785
10,acessoalmirantetamandare,35,1 days 10:29:56.410139428
11,acessoboqueirao,23,1 days 06:40:40.321382333
12,acessoboqueirao,24,1 days 10:25:07.110934619
13,acessoboqueirao,25,1 days 08:10:34.641126475
14,acessoboqueirao,26,2 days 05:10:04.519258210
15,acessoboqueirao,27,1 days 03:36:57.516017051
16,acessoboqueirao,28,0 days 10:14:33.174733
17,acessoboqueirao,29,0 days 15:23:02.697338
18,acessoboqueirao,30,3 days 07:49:15.527699444
19,acessoboqueirao,31,2 days 14:12:04.165991142
20,acessoboqueirao,32,2 days 08:20:28.129237250
21,acessoboqueirao,33,1 days 20:06:29.695978250
22,acessoboqueirao,34,2 days 00:17:10.487992090
23,acessoboqueirao,35,0 days 18:47:06.230221294
24,acessocampolargo,23,1 days 17:13:07.223507307
25,acessocampolargo,24,1 days 23:21:58.380275360
26,acessocampolargo,25,2 days 01:17:11.776454045
27,acessocampolargo,26,1 days 04:58:00.942108500
28,acessocampolargo,27,2 days 06:44:13.210814076
29,acessocampolargo,30,0 days 19:36:27.545465750
30,acessocampolargo,31,3 days 17:49:08.089919833
31,acessocampolargo,32,0 days 23:14:34.567143666
32,acessocampolargo,33,2 days 11:50:16.559268647
33,acessocampolargo,34,3 days 03:00:03.255853222
34,acessocampolargo,35,1 days 11:42:28.580988500
35,acessocampolargokids,23,2 days 04:36:50.732097
36,acessocampolargokids,24,1 days 03:47:08.554054
37,acessocampolargokids,25,2 days 05:25:00.237821
38,acessocampolargokids,26,1 days 06:42:03.899174
39,acessocampolargokids,27,1 days 22:16:51.618848500
40,acessocampolargokids,31,4 days 04:07:56.635346500
41,acessocampolargokids,32,0 days 03:42:56.102411250
42,acessocampolargokids,33,0 days 05:22:01.907170750
43,acessocampolargokids,34,0 days 02:30:17.523776
44,acessofazendariogrande,23,1 days 09:10:55.963528363
45,acessofazendariogrande,24,0 days 16:08:18.384237793
46,acessofazendariogrande,25,0 days 20:33:47.243907075
47,acessofazendariogrande,26,0 days 18:59:07.321071550
48,acessofazendariogrande,27,1 days 13:55:44.514797395
49,acessofazendariogrande,30,0 days 19:43:26.946263
50,acessofazendariogrande,31,0 days 05:59:24.311428700
51,acessofazendariogrande,32,0 days 01:00:56.020969785
52,acessofazendariogrande,33,0 days 11:25:15.315803307
53,acessofazendariogrande,34,0 days 06:28:09.281582
54,acessofazendariogrande,35,0 days 05:44:53.896357166
55,acessohauer,23,0 days 20:35:31.324130722
56,acessohauer,24,1 days 03:04:53.457678083
57,acessohauer,25,1 days 06:30:53.274575
58,acessohauer,26,1 days 01:55:39.792572500
59,acessohauer,27,1 days 04:22:48.436519857
60,acessohauer,29,5 days 15:08:23.852473
61,acessohauer,31,2 days 05:07:46.120474
62,acessohauer,32,3 days 08:51:24.458267500
63,acessohauer,33,2 days 20:58:28.003985400
64,acessohauer,34,3 days 04:51:18.467128666
65,acessopinhais,23,1 days 20:48:10.006459
66,acessopinhais,24,0 days 14:33:16.023263300
67,acessopinhais,25,0 days 15:08:26.990239
68,acessopinhais,26,0 days 06:18:21.681813625
69,acessopinhais,27,0 days 12:40:01.297683142
70,acessopinhais,30,1 days 01:44:23.422235
71,acessopinhais,31,4 days 17:31:29.102360
72,acessopinhais,32,3 days 04:53:58.517552666
73,acessopinhais,33,2 days 06:34:01.574945200
74,acessopinhais,34,2 days 17:59:41.281888333
75,acessopinhais,35,1 days 19:34:38.538723222
76,acessosantafelicidade,23,2 days 04:44:23.807182
77,acessosantafelicidade,24,1 days 16:26:13.178355448
78,acessosantafelicidade,25,1 days 09:55:12.285581355
79,acessosantafelicidade,26,2 days 01:58:43.275555611
80,acessosantafelicidade,27,2 days 02:49:51.373149392
81,acessosantafelicidade,30,2 days 21:44:49.585124
82,acessosantafelicidade,31,4 days 08:05:21.448948416
83,acessosantafelicidade,32,3 days 02:05:57.357860882
84,acessosantafelicidade,33,3 days 01:35:56.235985375
85,acessosantafelicidade,34,2 days 14:40:19.148855833
86,acessosantafelicidade,35,1 days 09:56:36.912581250
87,acessosjpinhais,23,2 days 06:47:30.557523700
88,acessosjpinhais,24,1 days 17:08:16.064032562
89,acessosjpinhais,25,1 days 04:13:29.986097078
90,acessosjpinhais,26,1 days 22:20:03.004300307
91,acessosjpinhais,27,1 days 09:40:09.017954044
92,acessosjpinhais,28,0 days 21:14:41.716633500
93,acessosjpinhais,29,18 days 23:06:23.702184
94,acessosjpinhais,30,0 days 03:08:09.285119
95,acessosjpinhais,31,2 days 18:34:03.021701411
96,acessosjpinhais,32,2 days 00:00:07.930230285
97,acessosjpinhais,33,3 days 03:30:57.286270526
98,acessosjpinhais,34,2 days 04:32:43.896893107
99,acessosjpinhais,35,0 days 19:03:15.025477772
100,adrianochan,23,1 days 04:39:08.463779
101,adrianochan,24,1 days 03:14:45.017578500
102,adrianochan,25,0 days 00:02:21.388121
103,adrianochan,26,-1 days +23:58:41.493217
104,adrianochan,31,1 days 18:09:46.543846500
105,adrianochan,32,1 days 08:32:19.984121333
106,adrianochan,33,1 days 01:50:05.920749
107,adrianochan,34,0 days 05:49:38.152969666
108,adrianochan,35,-1 days +23:59:35.988484
109,aescobjetivo,23,4 days 03:36:51.942921714
110,aescobjetivo,24,4 days 05:15:36.071649340
111,aescobjetivo,25,5 days 17:08:01.108978571
112,aescobjetivo,26,1 days 02:44:40.848183
113,aescobjetivo,28,5 days 01:19:13.222401
114,aescobjetivo,29,9 days 01:50:45.040588800
115,aescobjetivo,30,8 days 20:27:58.904885818
116,aescobjetivo,31,5 days 15:00:38.493241770
117,aescobjetivo,32,3 days 04:35:32.999546196
118,aescobjetivo,33,3 days 10:03:02.069166410
119,aescobjetivo,34,3 days 17:24:48.394926072
120,aescobjetivo,35,0 days 19:26:33.437859692
121,alfacembilingue,25,-1 days +23:58:43.752502
122,amadeus,23,2 days 19:54:42.426194603
123,amadeus,24,1 days 10:47:26.031767506
124,amadeus,29,1 days 18:35:16.077738250
125,amadeus,30,3 days 09:46:25.217862153
126,amadeus,31,1 days 00:44:43.611386512
127,amadeus,32,2 days 07:24:58.141677230
128,amadeus,33,1 days 21:02:10.645699913
129,amadeus,34,0 days 15:27:10.416738400
130,amadeus,35,1 days 05:55:17.854518105
131,amais,23,3 days 07:01:47.835252400
132,amais,24,0 days 17:01:37.804209333
133,amais,33,0 days 14:48:16.116007333
134,amais,34,1 days 12:54:10.397890
135,amaisteste,28,-1 days +23:59:45.407214
136,amaisteste,33,0 days 00:03:28.518648
137,amaisteste,35,0 days 00:00:11.714772750
138,anchietaba,30,-1 days +23:58:11.878763
139,apogeustoantonio2,23,0 days 16:45:58.127927571
140,apogeustoantonio2,24,0 days 18:38:51.024884333
141,apogeustoantonio2,25,0 days 23:50:35.953598
142,apogeustoantonio2,26,0 days 15:45:22.395005500
143,apogeustoantonio2,28,0 days 01:38:14.347088
144,apogeustoantonio2,29,1 days 03:44:31.052563
145,apogeustoantonio2,31,-1 days +23:53:43.844908
146,apogeustoantonio2,32,0 days 02:49:04.295160500
147,apogeustoantonio2,34,0 days 04:31:56.364239
148,aprovest,27,0 days 02:54:49.610401
149,arlindocavalcanti,25,9 days 23:36:47.802858
150,beityaacov,23,1 days 14:58:56.702740
151,beityaacov,32,0 days 00:01:09.855073
152,beityaacov,33,0 days 00:03:56.156403
153,bertelsmann,28,-1 days +23:58:18.403241500
154,bertelsmann,31,0 days 00:00:11.067618
155,brasilcursinhos,25,0 days 13:55:45.931530
156,brasilcursinhos,27,0 days 00:46:07.770430
157,brasilcursinhos,28,1 days 01:26:47.065595
158,brasilcursinhos,29,2 days 16:57:16.587253600
159,brasilcursinhos,30,0 days 07:05:00.164572
160,brasilcursinhos,34,2 days 00:44:31.598626333
161,brasilcursinhos,35,0 days 01:05:42.507376833
162,camerinocursos,29,0 days 00:00:10.224126
163,casdinhosjc,23,0 days 02:59:24.440571250
164,casdinhosjc,24,0 days 05:15:10.577778
165,casdinhosjc,25,0 days 02:07:11.991463333
166,casdinhosjc,27,0 days 00:00:39.947785
167,casdinhosjc,31,0 days 08:19:30.161305
168,casdinhosjc,33,0 days 05:26:34.722561
169,casdvest,24,0 days 00:04:43.596424
170,casdvest,25,-1 days +23:59:08.562810
171,casdvest,26,0 days 07:54:09.740412
172,casdvest,27,0 days 00:18:16.692310
173,casdvest,28,2 days 23:52:20.603548
174,casdvest,29,-1 days +23:59:04.617257
175,casdvest,30,-1 days +23:59:02.707258
176,casdvest,31,0 days 04:29:31.536871
177,casdvest,32,0 days 00:01:53.548469
178,casdvest,33,-1 days +23:59:57.418495
179,castelobruxo,30,-1 days +23:59:47.571447
180,cats,29,-1 days +23:55:42.928258
181,cats,30,0 days 16:40:19.646702
182,cats,34,-1 days +23:58:00.970231
183,cbpdigital,23,1 days 07:32:37.414272857
184,cbpdigital,24,4 days 06:56:47.836734500
185,cbpdigital,25,0 days 15:03:19.660823
186,cbpdigital,26,0 days 08:19:13.521237500
187,cbpdigital,31,1 days 17:13:32.481780333
188,cbpdigital,32,1 days 05:56:30.982272793
189,cbpdigital,33,1 days 17:17:14.455975800
190,cbpdigital,34,1 days 15:34:31.892357259
191,cbpdigital,35,0 days 17:20:24.998523187
192,ceabb,26,3 days 16:25:59.297638333
193,ceabb,27,1 days 14:14:07.524727333
194,ceabb,31,0 days 02:37:21.102392750
195,ceabb,35,0 days 12:48:45.581901661
196,cecbdf,33,0 days 12:23:28.423220
197,cecbdf,34,-1 days +23:57:04.041294
198,ceespacolivre,23,9 days 20:11:15.496124
199,ceespacolivre,24,6 days 09:02:27.277597730
200,ceespacolivre,25,3 days 07:32:46.676373857
201,ceespacolivre,26,1 days 01:33:00.827286400
202,ceespacolivre,27,0 days 13:04:30.413622857
203,ceespacolivre,28,0 days 21:38:43.901199500
204,ceespacolivre,32,1 days 07:34:54.744262200
205,ceespacolivre,33,1 days 23:00:35.714127642
206,ceespacolivre,34,0 days 12:18:24.655710166
207,ceespacolivre,35,0 days 18:35:08.073167
208,cem,23,1 days 19:02:25.039072188
209,cem,24,5 days 07:03:26.768625666
210,cem,25,3 days 12:37:20.753206
211,cem,31,7 days 18:57:32.594113933
212,cem,32,4 days 15:34:13.785135636
213,cem,33,1 days 19:07:11.727610122
214,cem,34,3 days 11:13:08.702822142
215,cem,35,0 days 23:49:59.154903
216,ceprimeiromundo,23,38 days 16:38:36.384709115
217,ceprimeiromundo,24,31 days 10:36:15.654153320
218,ceprimeiromundo,25,24 days 14:23:34.762207166
219,ceprimeiromundo,26,8 days 21:03:33.116547500
220,ceprimeiromundo,27,1 days 09:13:25.204097105
221,ceprimeiromundo,28,0 days 15:31:12.385588153
222,ceprimeiromundo,29,5 days 12:02:46.940155666
223,ceprimeiromundo,30,0 days 22:24:26.854938500
224,ceprimeiromundo,31,2 days 02:07:20.017725176
225,ceprimeiromundo,32,4 days 10:12:07.121650258
226,ceprimeiromundo,33,2 days 19:09:29.206050
227,ceprimeiromundo,34,2 days 09:19:22.780527729
228,ceprimeiromundo,35,1 days 00:38:36.039113259
229,charlesdarwin,24,-1 days +23:59:49.942608
230,charlesdarwin,27,-1 days +23:57:48.180259
231,ciadosaber,23,2 days 23:10:52.295496234
232,ciadosaber,24,0 days 16:39:39.140888333
233,ciadosaber,25,0 days 05:13:17.924354470
234,ciadosaber,30,24 days 04:29:27.210698571
235,ciadosaber,31,1 days 14:40:11.983595333
236,ciadosaber,32,13 days 13:57:47.969770307
237,ciadosaber,33,4 days 14:03:00.123805238
238,ciadosaber,34,1 days 07:45:11.305777793
239,cmdpii,33,0 days 12:23:13.831686333
240,cmdpii,34,-1 days +23:57:03.509404167
241,cnslpb,23,0 days 16:07:25.486021181
242,cnslpb,24,1 days 16:48:35.472539884
243,cnslpb,25,0 days 01:08:49.304450
244,cnslpb,26,0 days 05:49:43.574017400
245,cnslpb,28,0 days 00:02:22.124198
246,cnslpb,30,0 days 21:46:31.027838428
247,cnslpb,31,1 days 16:02:53.774081190
248,cnslpb,32,0 days 08:41:10.019753
249,cnslpb,33,0 days 00:00:44.887494
250,cnslpb,34,1 days 20:25:45.016381
251,cnslpb,35,0 days 03:52:32.608485833
252,cognitivo,32,0 days 00:06:32.839527
253,colegioalphaunis,24,8 days 20:59:29.889939529
254,colegioalphaunis,25,7 days 23:22:13.557428666
255,colegioalphaunis,26,6 days 00:45:06.164919764
256,colegioalphaunis,27,4 days 00:09:13.266369083
257,colegioalphaunis,33,3 days 17:59:49.223438291
258,colegioalphaunis,34,4 days 21:52:44.893877500
259,colegioanchietai,33,0 days 12:22:42.333415333
260,colegioanchietai,34,-1 days +23:56:47.540515667
261,colegioanchietaii,33,0 days 12:22:47.430818
262,colegioanchietaii,34,-1 days +23:57:17.117687500
263,colegioarena,23,1 days 11:03:41.588692588
264,colegioarena,24,0 days 12:11:21.188500394
265,colegioarena,25,0 days 05:11:19.411675950
266,colegioarena,31,0 days 22:31:03.884175250
267,colegioarena,32,2 days 17:00:46.837157700
268,colegioarena,33,2 days 04:57:27.196586
269,colegioarena,34,3 days 01:41:12.202154375
270,colegioarena,35,2 days 01:51:13.742366166
271,colegiobatistaindependente,23,1 days 16:37:39.739029
272,colegiobatistaindependente,24,4 days 21:24:34.043186818
273,colegiobatistaindependente,25,1 days 16:20:48.846289836
274,colegiobatistaindependente,26,1 days 06:05:55.511933457
275,colegiobatistaindependente,27,1 days 01:14:56.336072433
276,colegiobatistaindependente,28,0 days 04:06:32.892385250
277,colegiobatistaindependente,32,0 days 02:51:02.378225
278,colegiobatistaindependente,33,0 days 20:03:07.377492384
279,colegiobatistaindependente,34,0 days 22:19:40.683220725
280,colegiobatistaindependente,35,0 days 12:53:30.326582200
281,colegiobetelbrasileirosp,23,9 days 00:57:52.934156
282,colegiobetelbrasileirosp,24,1 days 21:46:12.577417740
283,colegiobetelbrasileirosp,25,1 days 11:04:32.127670695
284,colegiobetelbrasileirosp,31,11 days 15:30:26.411960333
285,colegiobetelbrasileirosp,32,3 days 01:09:35.132419341
286,colegiobetelbrasileirosp,33,2 days 21:26:36.852526703
287,colegiobetelbrasileirosp,34,2 days 09:37:01.409143954
288,colegiobetelbrasileirosp,35,1 days 08:57:40.824681
289,colegiobianguloiv,33,0 days 12:22:52.357882
290,colegiobianguloiv,34,-1 days +23:56:19.797540834
291,colegiobilac,23,1 days 17:19:29.229692150
292,colegiobilac,24,0 days 23:50:07.122133965
293,colegiobilac,29,4 days 12:08:01.677399
294,colegiobilac,30,3 days 11:26:21.306981600
295,colegiobilac,31,1 days 12:26:05.143094055
296,colegiobilac,32,3 days 10:22:34.026236500
297,colegiobilac,33,0 days 10:22:36.002837333
298,colegiobilac,34,3 days 15:47:29.766083538
299,colegiobilac,35,0 days 15:03:21.438899250
300,colegiobrasilia,23,2 days 16:40:28.469238444
301,colegiobrasilia,24,1 days 20:40:34.622187854
302,colegiobrasilia,25,0 days 20:53:40.967554764
303,colegiobrasilia,26,35 days 01:09:38.049942333
304,colegiobrasilia,27,28 days 10:30:42.689319
305,colegiobrasilia,30,12 days 04:54:02.031035
306,colegiobrasilia,31,4 days 13:26:50.822817648
307,colegiobrasilia,32,3 days 09:50:08.075789320
308,colegiobrasilia,33,1 days 23:17:21.057661579
309,colegiobrasilia,34,3 days 02:19:31.128326148
310,colegiobrasilia,35,0 days 15:41:10.401441803
311,colegiocb,23,3 days 05:16:40.126404521
312,colegiocb,24,1 days 01:13:08.231209911
313,colegiocb,25,0 days 11:14:29.732321
314,colegiocb,26,36 days 02:37:48.013001125
315,colegiocb,27,22 days 11:01:25.445907
316,colegiocb,30,5 days 13:38:30.316613
317,colegiocb,31,1 days 02:09:10.509380739
318,colegiocb,32,18 days 14:57:00.469601727
319,colegiocb,33,1 days 12:44:01.110174500
320,colegiocb,34,3 days 00:01:36.725554820
321,colegiocb,35,1 days 13:25:43.758097428
322,colegiocognos,23,0 days 00:00:15.871297
323,colegiocognos,33,-1 days +23:57:22.844382
324,colegiodasamericas,23,0 days 00:02:08.150245
325,colegiodasamericas,24,6 days 22:51:48.798067446
326,colegiodasamericas,25,2 days 18:44:23.330288
327,colegiodasamericas,26,0 days 16:37:01.581154500
328,colegiodasamericas,27,0 days 13:22:07.125404
329,colegiodasamericas,30,5 days 19:35:37.192626833
330,colegiodasamericas,31,0 days 00:56:34.010896833
331,colegiodasamericas,33,5 days 21:30:53.876559428
332,colegiodasamericas,34,4 days 08:16:33.151340833
333,colegiodasamericas,35,1 days 21:46:12.303260600
334,colegiodompedrosegundo,28,1 days 22:12:58.382564
335,colegioeag,27,-1 days +23:58:44.268639
336,colegioeag,30,12 days 05:31:46.054042500
337,colegioeag,33,1 days 06:46:22.961127500
338,colegioeag,34,1 days 19:18:38.147575333
339,colegioecursodesafio,23,5 days 16:13:31.175362229
340,colegioecursodesafio,24,5 days 23:39:35.143937941
341,colegioecursodesafio,25,2 days 10:37:37.003892040
342,colegioecursoprogressao,23,3 days 05:27:55.961553555
343,colegioecursoprogressao,24,2 days 11:56:04.088063295
344,colegioecursoprogressao,25,4 days 02:06:40.052274465
345,colegioecursoprogressao,26,7 days 09:21:29.409091969
346,colegioecursoprogressao,27,5 days 08:35:08.553821682
347,colegioecursoprogressao,28,1 days 06:08:05.716003787
348,colegioecursoprogressao,30,7 days 12:24:26.924877400
349,colegioecursoprogressao,31,3 days 07:52:48.065080755
350,colegioecursoprogressao,32,4 days 11:07:31.912856829
351,colegioecursoprogressao,33,3 days 17:08:18.817212250
352,colegioecursoprogressao,34,1 days 04:36:33.675941325
353,colegioecursoprogressao,35,0 days 10:13:11.043288300
354,colegioeducallis,23,1 days 09:57:15.888418881
355,colegioeducallis,24,1 days 11:34:14.383012134
356,colegioeducallis,25,1 days 08:27:13.183177235
357,colegioeducallis,31,0 days 16:05:05.570638777
358,colegioeducallis,32,0 days 23:30:55.344115147
359,colegioeducallis,33,1 days 14:18:03.273876517
360,colegioeducallis,34,1 days 13:04:55.310761024
361,colegioeducallis,35,0 days 21:30:32.522348378
362,colegioensitec,23,5 days 23:44:31.799172736
363,colegioensitec,24,4 days 14:00:39.154528625
364,colegioensitec,25,5 days 19:14:43.005390
365,colegioensitec,28,6 days 06:36:17.868551500
366,colegioensitec,29,13 days 23:39:30.592515368
367,colegioensitec,30,15 days 16:28:07.772046960
368,colegioensitec,31,11 days 07:58:34.545810312
369,colegioensitec,32,12 days 03:54:36.474695600
370,colegioensitec,33,8 days 07:09:21.547899200
371,colegioensitec,34,3 days 01:30:02.331617111
372,colegioensitec,35,0 days 18:46:33.466865
373,colegioflamingo,23,0 days 10:17:23.751530200
374,colegioflamingo,24,1 days 04:48:55.637312400
375,colegioflamingo,25,0 days 13:34:13.874745823
376,colegioflamingo,26,0 days 19:37:35.186784166
377,colegioflamingo,32,2 days 09:08:33.746477900
378,colegioflamingo,33,1 days 21:21:45.412080550
379,colegioflamingo,34,1 days 05:52:28.097916739
380,colegioflamingo,35,0 days 09:04:03.464054500
381,colegiofuturageracao,23,6 days 11:16:03.257481272
382,colegiofuturageracao,24,3 days 01:10:33.227998941
383,colegiofuturageracao,25,1 days 08:17:48.881646714
384,colegiofuturageracao,26,34 days 15:17:29.453223
385,colegiofuturageracao,31,0 days 10:25:06.396598250
386,colegiofuturageracao,32,13 days 02:46:18.440376722
387,colegiofuturageracao,33,6 days 14:49:34.353599500
388,colegiofuturageracao,34,1 days 19:34:05.729413285
389,colegiofuturageracao,35,0 days 15:18:38.267431
390,colegioglobal,23,5 days 19:58:41.478574
391,colegioglobal,24,2 days 23:04:10.041351459
392,colegioglobal,25,1 days 12:52:03.976881
393,colegioglobal,26,39 days 10:01:39.974486
394,colegioglobal,30,17 days 23:01:04.163779666
395,colegioglobal,32,8 days 17:23:02.699740645
396,colegioglobal,33,3 days 20:13:35.113572342
397,colegioglobal,34,1 days 20:35:35.549403681
398,colegioglobal,35,0 days 02:56:10.071563
399,colegioguilhermedealmeida,31,0 days 16:11:33.168421666
400,colegioguilhermedealmeida,32,8 days 15:26:21.333674
401,colegioguilhermedealmeida,33,1 days 02:19:45.197030500
402,colegioguilhermedealmeida,34,1 days 15:58:37.415529250
403,colegioguilhermedealmeida,35,1 days 06:36:08.277816
404,colegioiguatemy,23,3 days 18:35:24.970839875
405,colegioiguatemy,24,1 days 15:57:55.400126
406,colegioiguatemy,25,4 days 22:27:06.971919750
407,colegioiguatemy,26,1 days 15:58:37.684736785
408,colegioiguatemy,27,0 days 08:42:39.956482
409,colegioiguatemy,30,9 days 19:33:47.570503250
410,colegioiguatemy,31,4 days 04:34:41.747477782
411,colegioiguatemy,32,5 days 01:39:34.661710750
412,colegioiguatemy,33,3 days 09:44:38.971745843
