,namespace,Porcentagem de visualização de relatórios de AA por professor
0,abdiasmartins,0.0
1,acessoalmirantetamandare,0.8638697359285595
2,acessoboqueirao,1.0
3,acessocampolargo,0.625
4,acessocampolargokids,0.9666666666666666
5,acessofazendariogrande,0.6608796296296297
6,acessohauer,0.9368686868686869
7,acessopinhais,0.9715909090909092
8,acessosjpinhais,0.6536341486750943
9,adrianochan,0.5432900432900433
10,aescobjetivo,0.6206349851780053
11,alfacembilingue,1.0
12,alpha,0.0
13,amadeus,0.6028574473267568
14,amais,0.14285714285714285
15,amaisteste,0.3333333333333333
16,anchietaba,0.5
17,antoniomelo,0.0
18,aprovest,0.0
19,arlindocavalcanti,0.5
20,barraazul,0.0
21,beityaacov,1.0
22,brasilcursinhos,0.4
23,casdinhosjc,0.6666666666666666
24,castelobruxo,0.0
25,cats,0.4444444444444444
26,cbpdigital,0.5846149956143224
27,ceabb,0.8541666666666667
28,ceespacolivre,0.8025993012835118
29,cem,0.7626294538794538
30,ceprimeiromundo,0.7299714562525124
31,charlesdarwin,0.0
32,ciadosaber,0.7004159129988166
33,cnslpb,0.6642397055440533
34,cognitivo,0.0
35,colegioalphaunis,0.6246856318284889
36,colegioarena,0.07029719689294157
37,colegiobatistaindependente,0.720150785594334
38,colegiobetelbrasileirosp,0.8854851930107943
39,colegiobilac,0.7947163439290847
40,colegiobrasilia,0.7614583420261464
41,colegiocb,0.763827045969903
42,colegiodasamericas,0.7992658352139776
43,colegioeag,0.6916666666666667
44,colegioecursodesafio,0.667959208158788
45,colegioecursoprogressao,0.6637629864202952
46,colegioeducallis,0.7113192658405425
47,colegioensitec,0.8532860195360197
48,colegioflamingo,0.9021164021164023
49,colegiofuturageracao,0.8913858071752808
50,colegioglobal,0.7714010856868001
51,colegioguilhermedealmeida,0.8888888888888888
52,colegioiguatemy,0.7193714008729489
53,colegiointegral,0.49629021670509393
54,colegiojoaopaulo,0.7800210455940103
55,colegiomagnum,0.0
56,colegiomartinus,0.0
57,colegionobre,1.0
58,colegionovopatio,0.0
59,colegiopremium,0.9065532879818594
60,colegioprogresso,0.0
61,colegioradar,0.0
62,colegiosantamaria,0.6666666666666666
63,colegiosaoluis,0.0
64,colegioser,0.0
65,colegiosete,0.7709821428571428
66,colegiouirapuru,0.7927353370535191
67,colegiouniverso,0.5441587301587302
68,colegioup,0.551918864694773
69,conexaosaber,0.8722924950866127
70,contemporaneo,0.5694444444444444
71,contemporaneocidadeverde,0.6924227799227799
72,contemporaneolagoanova,0.7336499919833254
73,cparaiso,1.0
74,crescercampinas,0.4540726265269223
75,cursinhoeach,0.125
76,cursoenfase,0.25
77,cursoisfera,0.5
78,cursosazambuja,0.12444444444444443
79,deltaeducacional,0.21315949066641734
80,dommga,0.0
81,eacorcovado,0.8186813186813187
82,eccos,0.851911976911977
83,educamais,0.0
84,educandarioterciocorreia,0.9433679985404122
85,educarse,0.013888888888888888
86,einsteinassis,0.7102813852813852
87,elitecuritibaemilianoperneta,0.7729166666666668
88,eluneonline,0.6666666666666666
89,escolaceciliameireles,0.5561011904761904
90,escolajardimdasnacoes,0.25
91,escolamaster,0.8708333333333333
92,esperanza,0.0
93,estantemagica,0.0
94,faculdadeflamingo,0.8931501158773887
95,franciscopinto,0.0
96,galois,0.0
97,garra,0.44814814814814813
98,gerabixo,0.17714285714285713
99,goncalomartins,0.0
100,informacao,0.25
101,insa,0.21195362527971226
102,institutoauxiliadoradf,0.0
103,institutocristao,0.9194230769230769
104,institutoeurofarma,0.36363636363636365
105,integra,0.6931623931623931
106,integradaeducativa,0.8376676424479123
107,invictus,0.3533453050572616
108,iracemarufino,1.0
109,isem,0.8466692772386673
110,itamarati,0.25
111,jardimsaopaulo,0.5
112,jazzvestibular,0.0
113,jeanpiaget,0.0
114,joaobelem,1.0
115,lasalleaguasclaras,1.0
116,liessinbarra,1.0
117,litteratus,0.16666666666666666
118,magister,0.7138888888888889
119,manoelbatista,1.0
120,maplebearslz,0.5916914988392954
121,mariliamattoso,0.877506723158897
122,minhalista,0.5490196078431372
123,moaciralves,0.75
124,monsenhorgoncalo,0.0
125,murilorocha,0.6666666666666666
126,navegasas,0.6666666666666666
127,novotempo,0.0
128,nucleocriativo,0.9152029343205815
129,objetivolorena,0.7314283281843835
130,objetivoteresina,1.0
131,oficinadoestudante,0.9846153846153847
132,overabelcabral,0.7523898634113685
133,overjoaopessoa,0.7012012987012988
134,overlimaesilva,0.9162632821723732
135,overmarciliofurtado,0.6245400829604038
136,overmossoro,0.8036992921608307
137,overnascimentodecastro,0.1
138,overpontanegra,0.7443339666695977
139,overzonanorte,0.7750814798937024
140,pauloviana,1.0
141,pedromurilo,0.0
142,pesenglish,0.0
143,physicsalcindocacela,0.16666666666666666
144,physicsalmirantebarroso,0.9183673469387755
145,physicsaugustomontenegro,0.7380952380952381
146,physicsbatistacampos,1.0
147,physicscidadenova,0.7466666666666667
148,physicsconselheirofurtado,0.025
149,physicsmacapa,0.5
150,physicsumarizal,0.8035714285714286
151,pioxi,0.4589271315686411
152,pioxiicolegio,0.7393217893217893
153,plannetataboao,0.96
154,portinari,0.6110483405483405
155,porto,0.5445952077052076
156,primeirodemaio,0.05263157894736842
157,prismapatrocinio,0.6243000356878802
158,profederal,0.5560290404040403
159,progressaodc,0.5639309528110173
160,progressaoig,0.7361216054327508
161,provaspoliedro,0.518574145834569
162,psantagema,0.295017509180098
163,qescola,0.5219303046889254
164,raizeducacao,0.0
165,saea,0.0
166,sagradafamilia,1.0
167,santadoroteia,0.5
168,santamariacn,0.6175595238095238
169,santoamerico,0.6175951445437838
170,santoamericoteste,0.0
171,santoantonio,0.0
172,sas,0.0
173,sasadapt,0.1
174,sasadaptem,0.3
175,sasadaptfund,1.0
176,saseducacao,0.42857142857142855
177,senhorbonfim,1.0
178,sistemadeensinogpi,0.0
179,souhabilis,0.1843137254901961
180,spdacruz,0.9204121828821905
181,stellamarisaguaverde,0.9054978354978355
182,stellamarisjuveve,0.8543490178240817
183,stellamarisxaxim,0.8821985032511348
184,studos,1.0
185,universitariolondrina,0.7742274776905309
186,universobarcarena,0.3855491350099673
187,valdemiracoelho,0.0
188,villalobos,0.7513012181616834
